Designation In English,المسمى الوظيفي بالإنجليزي
Pay To / Recd From,دفع إلى/تحصيل من
Reference,المرجع
Show unclosed fiscal year's P&L balances,إظهار الارصده والموازنة العامة للسنة المالية غير المغلقة
Assets,الأصول
Liabilities,المطلوبات
Item {0} has been disabled,الصنف {0} معطل
Item {0} must be a Fixed Asset Item,الصنف {0} يجب أن يكون أصول ثابتة
Expected Value After Useful Life must be less than Gross Purchase Amount,القيمة المتوقعة بعد الحياة النافعة يجب ان تكون اقل من إجمالي مبلغ الشراء
Gross Purchase Amount is mandatory,مبلغ الشراء الإجمالي إلزامي
Next Depreciation Date is mandatory for new asset,تاريخ الإهلاك إلزامي للأصل الجديد
Opening Accumulated Depreciation must be less than equal to {0},يجب ان يكون فتح الإهلاك المتراكم اقل من أويساوي {0}
Please set Number of Depreciations Booked,الرجاء تجديد عدد عمليات الاهلاك المحجوزة
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,عدد مرات الاهلاك المحجوزة لا يمكن أن تكون أكبر من عدد مرات الاهلاك الكلي
Please set Next Depreciation Date,الرجاء تحديد تاريخ الاهلاك التالي
"Asset cannot be cancelled, as it is already {0}","الأصول لا يمكن أن تلغى, كما أنها بالفعل {0}"
Expected value after useful life must be greater than or equal to {0},القيمة المتوقعة بعد فترة حياة نافعة يجب أن تكون أكبر من أو تساوي {0}
Please cancel Purchase Invoice {0} first,الرجاء إلغاء فاتورة الشراء {0} أولا
Next Depreciation Date is entered as past date,تاريخ الاهلاك التالي تم إدخالها كتاريخ قديم
Please enter Asset Category in Item {0},الرجاء إدخال تصنيف الأصل للصنف {0}
Asset Movement record {0} created,تم إنشاء سجل حركة الأصول {0}
{0} must be greater than 0,{0} يجب أن يكون أكبر من 0
Total working hours should not be greater than max working hours {0},مجموع ساعات العمل يجب أن لا تكون أكبر من ساعات العمل القصوى {0}
Multiple active Salary Structures found for employee {0} for the given dates,يوجد أكثر من هيكل نشط للرواتب للموظف {0} في التواريخ المحددة
Leave Without Pay does not match with approved Leave Application records,لا تتطابق الاجازة بدون راتب مع الإجازات المعتمدة
There are more holidays than working days this month.,أيام العطل لهذا الشهر أكثر من أيام العمل.
Employee relieved on {0} must be set as 'Left',يجب تعيين الموظف الذي انتهت خدمته في {0} ` مسرَح `
Salary Slip of employee {0} already created for this period,تم إنشاء قسيمة الراتب بالفعل للموظف {0} لهذه الفترة
Salary Slip of employee {0} already created for time sheet {1},تم إنشاء قسيمة الراتب بالفعل للموظف {0} لهذا الجدول الزمني
Net Pay cannot be less than 0,صافي الأجر لا يمكن أن يكون أقل من 0
Name error: {0},الاسم خطأ: {0}
Syntax error in formula or condition: {0},خطأ في صياغة الجملة أو الشرط: {0}
Error in formula or condition,خطأ في الصيغة أو الشرط
Link Title,عنوان الرابط
Item Code is mandatory because Item is not automatically numbered,رمز الصنف إلزامي لأنه لا يتم ترقيم الصنف تلقائيا
Website Image should be a public file or website URL,موقع الويب يجب أن تكون الصورة ملفا عاما أو عنوان URL لموقع الويب
Warning: Invalid attachment {0},تحذير: مرفق غير صالح {0}
Warning: Invalid SSL certificate on attachment {0},تحذير: شهادة SSL غير صالحة في المرفق {0}
Item Variants {0} updated,تم تحديث متغيرات الصنف {0}
Item {0} is disabled,تم تعطيل الصنف {0}
Item {0} is not a stock Item,الصنف {0} ليس صنف مخزون
Item {0} is cancelled,تم إلغاء الصنف {0}
Select Payment Account to make Bank Entry,حدد حساب الدفع لإجراء إدخال بنكي
Valuation Rate is mandatory if Opening Stock entered,معدل التقييم إلزامي إذا ادخلت قيمة مبدئية للمخزون
Asset Category is mandatory for Fixed Asset item,فئة الموجودات إلزامية لأصناف الموجودات الثابتة
Activity Log:,سجل النشاطات:
Unit of Measure {0} has been entered more than once in Conversion Factor Table,وحدة القياس {0} تم إدخالها أكثر من مرة في جدول عامل التحويل
"Company, From Date and To Date is mandatory",حقل `الشركة` ، `من تاريخ` و `الى تاريخ` إلزامية
Conversion factor for default Unit of Measure must be 1 in row {0},عامل التحويل لوحدة القياس الافتراضية يجب أن يكون 1 في الصف {0}
Payment of salary from {0} to {1},دفع الراتب من {0} إلى {1}
Row #{0}: Please set reorder quantity,الصف # {0}: يرجى تعيين إعادة ترتيب الكمية
Link DocType,رابط الجدول
No submitted Salary Slip found,لم يتم العثور علي أي قسيمة راتب معتمدة
"An Item Group exists with same name, please change the item name or rename the item group",توجد مجموعة عناصر بنفس الاسم، يرجى تغيير اسم الصنف أو إعادة تسمية مجموعة العناصر
Item {0} does not exist,الصنف {0} غير موجود
"To merge, following properties must be same for both items",للدمج، يجب أن تكون الخصائص التالية متماثلة لكلا الصنفين
Item has variants.,الصنف له متغيرات.
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',وحدة القياس الافتراضية للمتغير `{0}` يجب أن تكون كما في قالب `{1}`
Attribute table is mandatory,جدول السمة إلزامي
Attribute {0} selected multiple times in Attributes Table,تم تحديد السمة {0} عدة مرات في جدول السمات
Please specify Attribute Value for attribute {0},يرجى تحديد قيمة السمة للسمة {0}
Item variant {0} exists with same attributes,متغير الصنف {0} موجود بنفس السمات
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","الوزن هو مشار اليه،  n يرجى ذكر ""الوزن UOM"" أيضا"
Journal Entry Submitted,تم تسجيل دفتر اليومية
Please set {0},الرجاء إدخال {0}
Please set default account in Salary Component {0},الرجاء تعيين الحساب الافتراضي في مكون الراتب {0}
Fiscal Year {0} not found,السنة المالية {0} غير موجودة
Price List must be applicable for Buying or Selling,يجب أن تكون قائمة الأسعار قابلة للتطبيق لشراء أو بيع
Add Employees,إضافة موظفين
Item {0} not found,لم يتم العثور على الصنف {0}
Weekly,أسبوعيا
Daily,يوميا
Price List {0} is disabled,قائمة الأسعار {0} معطلة
Item {0} appears multiple times in Price List {1},يظهر الصنف {0} عدة مرات في قائمة الأسعار {1}
Net pay cannot be negative,صافي الأجر لا يمكن أن يكون بالسالب
Removed items with no change in quantity or value,إزالة العناصر مع أي تغيير في كمية أو قيمة
From Date in Salary Structure cannot be lesser than Employee Joining Date.,حقل `من تاريخ` في هيكل المرتبات لا يمكن أن يكون أقل من تاريخ إنضمام بالموظف.
Please specify either Quantity or Valuation Rate or both,يرجى تحديد إما الكمية أو سعر التقييم أو كليهما
Base,أساسي
negative Quantity is not allowed,الكمية السلبية غير مسموح بها
Negative Valuation Rate is not allowed,معدل التقييم السلبي غير مسموح به
Please enter Cost Center,يرجى إدخال مركز التكلفة
Select employees for current Salary Structure,اختيار موظفين لهيكل الراتب الحالي
Hour Rate,قيمة الساعة
None of the items have any change in quantity or value,لا يوجد أي من الأصناف لديها أي تغيير في كمية أو قيمة
Valuation Rate required for Item in row {0},معدل التقييم المطلوب للصنف في الصف {0}
Salary Component for timesheet based payroll.,مكون المرتب لكشف المرتبات المستندة إلى الجدول الزمني.
Amount based on formula,القيمة بناءً على المعادلة
Condition,الشرط
cannot create,لا يمكن إنشاؤه
Examples,أمثلة
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry",حساب الفرق يجب أن يكون حساب الأصول / حساب نوع الالتزام، حيث يعتبر تسوية المخزون بمثابة مدخل افتتاح
Notes:,ملاحظات:
Please create new account from Chart of Accounts.,الرجاء إنشاء حساب جديد من شجرة الحسابات
Condition and Formula Help,تعليمات إدخال الشروط والمعادلات
Please enter company first,الرجاء إدخال الشركة أولا
Please enter Purchase Receipt first,الرجاء إدخال إيصال الشراء أولا
Please enter Receipt Document,الرجاء إدخال مستند الاستلام
Receipt document must be submitted,يجب تقديم وثيقة الاستلام
Item must be added using 'Get Items from Purchase Receipts' button,"يجب إضافة الصنف باستخدام الزر ""الحصول على عناصر من إيصالات الشراء"""
Abbreviation cannot have more than 5 characters,الاختصارات لا يمكن أن تكون أكثر من 5 حروف
Abbreviation already used for another salary component,الاختصار مستخدم بالفعل لمركب آخر من المرتَبات
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'",إجمالي {0} لجميع العناصر هو صفر، قد يكون عليك تغيير `توزيع الرسوم على أساس`
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,إجمالي الرسوم المطبقة في إيصالات الشراء يجب أن يكون جدول الأصناف هو نفس إجمالي الضرائب والرسوم
BOM does not contain any stock item,BOM لا يحتوي على أي صنف المخزون
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,اسم الحساب. ملاحظة: الرجاء عدم إنشاء حسابات للعملاء والزبائن
{0} ({1}) must have role 'Expense Approver',{0} ({1}) يجب أن يمتلك صلاحية `اعتماد المصاريف`
Approval Status must be 'Approved' or 'Rejected',يجب أن تكون حاله الموافقة ` معتمده ` أو ` مرفوض `
The following Production Orders were created:,تم إنشاء أوامر الإنتاج التالية:
A Customer Group exists with same name please change the Customer name or rename the Customer Group,مجموعة الزبائن موجودة بنفس الاسم أرجو تغير اسم العميل أو اعادة تسمية مجموعة الزبائن
Expected Date cannot be before Material Request Date,لا يمكن أن يكون التاريخ المتوقع قبل تاريخ طلب المواد
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,المبلغ المسموح به لا يمكن أن يكون أكبر من المبلغ المطلوب في الصف {0}.
Please set default account in Expense Claim Type {0},الرجاء تعيين الحساب الافتراضي لنوع `المطالبة بالمصاريف` {0}
{0} {1} is cancelled or stopped,{0} {1} يتم إلغاؤه أو إيقافه
Productions Orders cannot be raised for:,لا يمكن رفع طلبات الإنتاج ل:
Series,سلسلة التسمية
New Account Name,اسم الحساب الجديد
Approver,الموافق على الطلب
No Items to pack,لا عناصر لحزمة
Please specify a valid 'From Case No.',"يرجى تحديد صالح ""من رقم الحالة"""
'To Case No.' cannot be less than 'From Case No.',"""الحالة إلى رقم "" لا يمكن أن يكون أقل من ""الحالة من رقم"""
Unable to find exchange rate for {0} to {1} for key date {2},تعذر العثور على سعر الصرف من {0} إلى {1} لتاريخ {2}
Delivery Note {0} must not be submitted,ملاحظة التسليم {0} يجب ان تكون ارسلت
Scrap Material Cost (SAR),تكلفة مواد الخردة (SAR
Case No(s) already in use. Try from Case No {0},رقم الحالة مستخدم بالفعل. حاول من رقم حالة {0}
Case No. cannot be 0,رقم الحالة لا يمكن ان يكون 0
"A user with ""Expense Approver"" role","مستخدم لديه صلاحية ""اعتماد المصاريف"""
Expense Date,تاريخ الاستحقاق
"Further accounts can be made under Groups, but entries can be made against non-Groups",يمكن انشاء المزيد من الحسابات تحت المجموعات ، ولكن يمكن انشاء حسابات بدون مجموعات.
Accounting Details,تفاصيل الحساب
More Details,مزيد من التفاصيل
Is Paid,مدفوع
Expense Claim is pending approval. Only the Expense Approver can update status.,مطالبة المستحقات المالية في انتظار الموافقة. فقط الموافق على الطلب يستطيع تغيير حالته.
Series is mandatory,الاسم المتسلسل مطلوب
Same Company is entered more than once,تم إدخال نفس الشركة أكثر من مره
Account does not match with Company,الحساب لا يتطابق مع الشركة
Please contact to the user who have Sales Master Manager {0} role,الرجاء الاتصال بالمستخدم الذي له صلاحية مدير المبيعات الرئيسي {0}
Score must be less than or equal to 5,يجب أن تكون النقاط أقل من أو تساوي 5
Support Analytics,تحليلات الدعم
End Date can not be less than Start Date,تاريخ النهاية لا يمكن أن يكون اقل من تاريخ البدء
Minutes to First Response for Issues,دقائق إلى الرد الأول للمشكلات
Appraisal {0} created for Employee {1} in the given date range,تم إنشاء التقييم {0} للموظف {1} في النطاق الزمني المحدد
Issue Date,تاريخ المشكلة
Issue,المشكلات
Total weightage assigned should be 100%. It is {0},يجب أن يكون إجمالي الوزن المعين 100٪. إنه {0}
Total cannot be zero,لا يمكن ان يكون المجموع صفر
Key Responsibility Area,النقاط الرئيسية
Goal,الهدف
"Any other remarks, noteworthy effort that should go in the records.",أي ملاحظات أخرى، يجب أن تأخذ بعين اﻹعتبار.
Sum of points for all goals should be 100. It is {0},مجموع النقاط لجميع الأهداف يجب أن تكون 100. مجموع النقاط الحالية {0}
Creation Time,وقت الإنشاء
Rate of Interest,نسبة الفائدة
Required by Date,مطلوبة في تاريخ
Clearance Date not mentioned,تاريخ التخليص لم يذكر
No permission for {0},لا يوجد صلاحية لـ {0}
Please save the document before uploading.,الرجاء حفظ المستند قبل تحميلها
You have entered duplicate items. Please rectify and try again.,لقد أدخلت عناصر مكررة. يرجى تصحيح وإعادة المحاولة.
Raised By,رفعت المشكلة بواسطة
Mute Sounds,كتم الأصوات
Clearance date cannot be before check date in row {0},تاريخ التخليص لا يمكن أن يكون قبل تاريخ الشيك في الصف {0}
Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,UOM المختلفة للعناصر سوف ترتبط بقيمة الحجم الصافي الغير صحيحة . تاكد الحجم الصافي لكل صنف هي نفس UOM
Role Name,اسم الدور
Please Delivery Note first,يرجى ملاحظة التسليم أولا
Group same items,جمع نفس الأصناف
Desk Access,الوصول إلى سطح المكتب
Set Role For,تعيين دور ل
The resource you are looking for is not available,المصدر الذي تبحث عنه غير متاح
Please specify from/to range,يرجى التحديد من / إلى النطاق
From Range has to be less than To Range,من المدى يجب أن يكون أقل من إلى المدى
Repaid/Closed,مسدد/مغلق
Increment cannot be 0,لا يمكن أن تكون الزيادة 0
{0} must appear only once,{0} يجب أن يظهر مرة واحدة فقط
Successfully Reconciled,تمت التسوية بنجاح
Session Expiry,إنتهاء الجلسة
Session Expiry in Hours e.g. 06:00,انتهاء الجلسة في ساعات مثلا 06:00
Session Expiry Mobile,إنتهاء جلسة الموبايل
Note: Multiple sessions will be allowed in case of mobile device,ملاحظة: سيتم السماح جلسات متعددة في حالة جهاز الموبايل
Disable Standard Email Footer,تعطيل تذييل البريد الإلكتروني الأساسي
Email Footer Address,عنوان تذييل البريد الإلكتروني
{0} must be set first,يجب تعيين {0} أولا
Please enter Item Code.,الرجاء إدخال رمز الصنف.
Trainer Name,اسم المتدرب
Posting Date cannot be future date,لا يمكن أن يكون تاريخ النشر تاريخا مستقبلا
Trainer Email,البريد اﻹلكتروني
Start Time,بداية الوقت
Not allowed to change {0} after submission,لا يسمح بتغيير {0} بعد الارسال
Attendees,الحضور
"If disable, 'In Words' field will not be visible in any transaction",إذا تعطيل، حقل 'في كلمات' لا يكون مرئي في أي صفقة
Disable Rounded Total,تعطيل المجموع التقريبي
Serial No {0} created,الرقم التسلسلي {0} تم إنشاؤه
"If disable, 'Rounded Total' field will not be visible in any transaction",إذا تعطيل،حقل 'المجموع التقريبي' لا يكون مرئي في أي صفقة
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,"الرقم التسلسلي الجديد لا يمكن أن يكون مستودع. يجب تعيين المستودع عن طريق ""دخول المخزون"" أو ""إيصال الشراء"""
Item Code cannot be changed for Serial No.,لا يمكن تغيير رمز الصنف للرقم التسلسلي
Submit all salary slips for the above selected criteria,تسجيل إيصال الراتب بناء على المعايير السابقة
Warehouse cannot be changed for Serial No.,المستودع لا يمكن ان يكون متغير لرقم تسلسلى.
"Cannot delete Serial No {0}, as it is used in stock transactions",لا يمكن حذف الرقم المتسلسل {0}، كما يتم استخدامه في معاملات الأسهم
"Sorry, Serial Nos cannot be merged",عذرا، لا يمكن دمج الرقم التسلسلي
Serial No {0} quantity {1} cannot be a fraction,الرقم المتسلسل {0} الكمية {1} لا يمكن أن يكون كسر
Smallest Currency Fraction Value,أصغر قيمه كسر العملة
Duplicate Serial No entered for Item {0},لم يتم إدخال الرقم المتسلسل المكرر للصنف {0}
Serial No {0} has already been received,الرقم المتسلسل {0} قد تم استلامه بالفعل
Serial No {0} does not belong to Warehouse {1},الرقم المتسلسل {0} لا ينتمي إلى المستودع {1}
Serial No {0} does not belong to any Warehouse,الرقم المتسلسل {0} لا يرتبط باي المستودع
Serial No {0} not in stock,الرقم المتسلسل {0} غير متوفر
Serial Nos Required for Serialized Item {0},الرقم التسلسلي المطلوب للصنف المتسلسل {0}
Please select Company first,الرجاء تحديد الشركة أولا
Company,شركة
Will send an email about the event to employees with status 'Open',سيتم إرسال بريد الكتروني الى الموظفين بخصوص الحدث وحالته 'مفتوح'
Address Title,اسم العنوان
Delete {0} items permanently,هل تود بالتأكيد حذف السجل {0} نهائياً
Units of Measure,وحدات القياس
Safety Stock,مخزون الأمان
Invited,مدعو
Attended,حضر
Withdrawn,منسحب
Policy No,رقم السياسة
Last Carbon Check,آخر فحص للكربون
Petrol,بنزين
Diesel,ديزل
Natural Gas,غاز طبيعي
Electric,كهربائي
Frequency,تكرر
Days for which Holidays are blocked for this department.,الأيام التي يتم فيها حظر العطل لهذا القسم.
Daily Work Summary for {0},ملخص العمل اليومي ل {0}
No replies from,لا توجد ردود من
There must be a default incoming Email Account enabled for this to work. Please setup a default incoming Email Account (POP/IMAP) and try again.,يجب أن يكون هناك حساب بريد الكتروني وارد افتراضي نشط. الرجاء اعداد حساب البريد الكتروني الوارد الافتراضي (pop/imap) والمحاولة مره أخرى.
"Emails will be sent to all Active Employees of the company at the given hour, if they do not have holiday. Summary of responses will be sent at midnight.",سيتم إرسال رسائل البريد الإلكتروني إلى جميع الموظفين العاملين في الشركة حسب الساعة المدخلة، إذا لم يكن لديهم عطلة. سيتم إرسال ملخص للردود في منتصف الليل.
Tip: Double click cell to edit,تلميح: انقر نقرا مزدوجا فوق خليه لتحريرها
Sorting Preferences,معلومات ترتيب البيانات
Sort By,ترتيب حسب
Feedback,اقتراحات
Customer,العميل
Customer Address,عنوان العميل
Contact Person,الشخص الذي يمكن الاتصال به
Random,عشوائي
Fully Completed,أنجزت كلياً
Unscheduled,غير مجدول
Warranty / AMC Status,الضمان / حالة عقد الصيانة الدوري
Lead Time in days,المهلة بالايام
Delivered by Supplier (Drop Ship),سلمت من قبل المورد (شحن مباشر)
This is based on transactions against this Customer. See timeline below for details,يستند هذا على معاملات خاصة بهذا العميل. أنظر الى الجدول الزمني أدناه للتفاصيل
Total Unpaid,إجمالي الغير مدفوع
Row {0}: UOM Conversion Factor is mandatory,الصف {0}: عامل تحويل UOM إلزامي
{0} is not a stock Item,{0} ليس صنف مخزون
Open Issues,فتح المشكلات
Open Projects,فتح المشاريع
Row #{0}: Please specify Serial No for Item {1},الصف # {0}: يرجى تحديد الرقم التسلسلي للصنف {1}
Atleast one warehouse is mandatory,على الأقل مستودع واحد إلزامي
Annual Expenses,المصروفات السنوية
Source warehouse is mandatory for row {0},مستودع المصدر إلزامي للصف {0}
Target warehouse is mandatory for row {0},المستودع المستهدف إلزامي للصف {0}
Target warehouse in row {0} must be same as Production Order,يجب أن يكون المستودع المستهدف في الصف {0} هو نفس طلب الإنتاج
Source and target warehouse cannot be same for row {0},المصدر والمستودع المستهدف لا يمكن أن يكون نفس الصف {0}
For Quantity (Manufactured Qty) is mandatory,للكمية (الكمية المصنعة) إلزامية
Pending Quotations,قيد إنتظار عروض الأسعار
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Production Order # {3}. Please update operation status via Time Logs,الصف # {0}: العملية {1} لم تكتمل ل {2} الكمية من السلع تامة الصنع في أمر الإنتاج رقم {3}. يرجى تحديث حالة التشغيل عبر سجلات الوقت
New Quotations,جديد عروض الأسعار
Price List not found or disabled,قائمة الأسعار ليست موجودة أو معطلة
Row {0}: Qty not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),الصف {0}: الكمية غير متاحة ل {4} في المستودع {1} عند وقت النشر للادخال ({2} {3})
New Sales Orders,جديد أوامر البيع
Not allowed to transfer more {0} than {1} against Purchase Order {2},غير مسموح بنقل أكثر {0} من {1} ضد أمر الشراء {2}
Pending Sales Orders,قيد إنتظار أوامر البيع
New Purchase Orders,جديد أوامر الشراء
Pending Purchase Orders,قيد إنتظار أوامر الشراء
Upcoming Calendar Events,أحداث التقويم القادم
New Expenses,جديد المصروفات
New Income,جديد الدخل
No of Rows (Max 500),عدد الصفوف (بحد أقصى 500)
Select items to save the invoice,تحديد عناصر لحفظ الفاتورة
Email Account Name,إسم حساب البريد الإلكتروني
Enable Outgoing,تمكين البريد الصادر
Academic Term,الفصل الأكاديمي
Activity Type,نوع النشاط
Finished Item {0} must be entered for Manufacture type entry,غير مسموح بنقل أكثر {0} من {1} ضد أمر الشراء {2}
Manufacturing Quantity is mandatory,كمية التصنيع إلزامية
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",لم يتم إعداد وضع الدفع. الرجاء التحقق ، ما إذا كان قد تم تعيين الحساب علي نمط الدفع أو علي نظام نقاط البيع.
User must always select,يجب تحديد المستخدم دائما
Serial no %(serial_no)s is already taken,الرقم التسلسلي %(serial_no)s تم استخدامه بالفعل
Error: Serial no is mandatory for item %(item)s,خطأ: الرقم التسلسلي مطلوب للصنف %(item)s
Serial no item cannot be a fraction,الرقم التسلسلي للصنف لا يمكن أن يكون كسر
Max 500 records at a time,حد أقصى 500 سجل في وقت واحد
Total nos of serial no is not equal to quantity.,مجموع أرقام الرقم التسلسلي لا يساوي للكمية
Error: Batch no is mandatory for item %(item)s,خطأ: رقم الدفعة مطلوب للصنف %(item)s
Print Style,نمط الطباعة
Font,الخط
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: %(pricing_rule)s","قواعد الأسعار المتعددة موجودة لنفس المعايير, الرجاء حل التعارض بإعطاء أولوية. قواعد التسعير: %(pricing_rule)s"
Send Print as PDF,إرسال الطباعة بصيغة PDF
Default warehouse is required for selected item,المستودع الافتراضي مطلوب للصنف المحدد
A4,A4
Enter value must be positive,الرقم المدخل يجب أن يكون موجب
Letter,رسالة
Please enter Item Code to get Batch Number,الرجاء إدخال رمز الصنف للحصول على رقم الدفعة
Please select customer,الرجاء تحديد زبون
Get Items from Material Requests,الحصول على الأصناف من طلبات المواد
"LocalStorage is full , did not save","التخزين المحلي ممتليء, لم يتم الحفظ"
BOM and Manufacturing Quantity are required,BOM وكمية التصنيع المطلوبة
Allow Print for Cancelled,السماح بالطباعة للإلغاء
"Status must be ""Done"" in order to submit a request","يجب أن تكون حالة الطلب ""تم"" من أجل إعتماد الطلب"
Serial No {0} does not exist,الرقم المتسلسل {0} غير موجود
Allow page break inside tables,السماح بفواصل الصفحات داخل الجداول
Serial No {0} does not belong to Delivery Note {1},الرقم المتسلسل {0} لا ينتمي الى مذكرة تسليم {1}
Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},رصيد المخزون في الدفعة {0} سلبيا {1} للصنف {2} في مستودع {3}
Disabled template must not be default template,القالب معطل لا يمكن أن يكون القالب الافتراضي
Item {0} must be a stock Item,يجب أن يكون الصنف {0} صنفا للمخزون
The Item {0} cannot have Batch,لا يمكن أن يحتوي الصنف {0} على دفعة
Stock transactions before {0} are frozen,معاملات المخزون قبل {0} جمدت
Not allowed to update stock transactions older than {0},غير مسموح بتحديث معاملات الأسهم الأقدم من {0}
Removed items with no change in quantity or value.,إزالة العناصر مع أي تغيير في كمية أو قيمة.
"Payment Entry {0} is linked against Order {1}, check if it should be pulled as advance in this invoice.","مدخل الدفع {0} مرتبط بالطلب {1},تحقق ما إذا كان يجب سحبه كسلفه في هذه الفاتورة"
Warning: System will not check overbilling since amount for Item {0} in {1} is zero,Warning: System will not check overbilling since amount for Item {0} in {1} is zero
Duplicate entry,إدخال مكرر
Please enter Expense Account,الرجاء إدخال حساب النفقات
None of the items have any change in quantity or value.,لا يوجد أي من الأصناف لديها أي تغيير في كمية أو قيمة.
`Freeze Stocks Older Than` should be smaller than %d days.,`تجميد المخزن الاقدم  `يجب أن تكون أصغر من٪ d أيام.
Make,إنشاء
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,يوجد سنوات مالية متعددة لنفس التاريخ {0}. الرجاء تحديد الشركة لهذه السنة المالية
Account head {0} created,الحساب الاساسي انشأ {0}
Due Date is mandatory,تاريخ الاستحقاق مطلوب
Send Email Print Attachments as PDF (Recommended),إرسال مرفقات طباعة البريد الإلكتروني بصيغة PDF
Please create an Account for this Warehouse and link it. This cannot be done automatically as an account with name {0} already exists,يرجى إنشاء حساب لهذا المستودع وربطه. لا يمكن القيام بذلك تلقائيا كحساب باسم {0} موجود بالفعل
Make Maintenance Visit,اجراء زيارة الصيانة
Cannot automatically create Account as there is already stock balance in the Account. You must create a matching account before you can make an entry on this warehouse,لا يمكن إنشاء الحساب تلقائيا نظرا لوجود رصيد مخزون بالفعل في الحساب. يجب عليك إنشاء حساب مطابق قبل أن تتمكن من إجراء إدخال على هذا المستودع
PDF Page Size,حجم صفحة صيغة PDF
Warehouse {0}: Company is mandatory,مستودع {0}: الشركة إلزامية
Row {0}:Start Date must be before End Date,الصف {0}: يجب أن يكون تاريخ البدء أقل من تاريخ الانتهاء
Warehouse {0}: Parent account {1} does not bolong to the company {2},مستودع {0}: حساب الاب {1} لا ينتمي إلى الشركة {2}
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,لا يمكن حذف مستودع كما دخول دفتر الأستاذ موجود لهذا المستودع.
Account {0} is invalid. Account Currency must be {1},الحساب {0} غير فعال. عملة الحساب يجب أن تكون {1}
"Cannot overbill for Item {0} in row {1} more than {2}. To allow overbilling, please set in Stock Settings",لا يمكن تجاوز الفاتورة للصنف {0} في الصف {1} أكثر من {2}. للسماح بالفوترة الزائدة ، يرجى تعيين في إعدادات المخزون
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),لا يمكن ان يكون إجمالي السلفة ({0}) مقابل الأمر {1} أكبر من الإجمالي الكلي ({2})
Accounting Entry for {0}: {1} can only be made in currency: {2},المدخل المحاسبي ل {0}: {1} يمكن أن يكون فقط بالعملة {1}.
Send document web view link in email,إرسال رابط صفحة ويب عبر البريد الإلكتروني
"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.",الصف # {0}: يجب ان تكون الكمية 1 ، لان الصنف هو أصل ثابت. الرجاء استخدام صف منفصل للعديد من الكميات.
Please save the document before generating maintenance schedule,الرجاء حفظ المستند قبل إنشاء جدول الصيانة
In points. Default is 9.,في النقاط. الافتراضي هو 9.
Warehouse {0} does not exist,مستودع {0} غير موجود
Child warehouse exists for this warehouse. You can not delete this warehouse.,مستودع فرعي موجود لهذا المستودع. لا يمكنك حذف هذا المستودع.
Please click on 'Generate Schedule' to get schedule,الرجاء الضغط علي ` إنشاء الجدول ` للحصول علي جدول
Both Warehouse must belong to same Company,يجب أن ينتمي المستودع إلى نفس الشركة
Row #{0}: Asset is mandatory for fixed asset purchase/sale,الصف # {0}: الأصل إلزاميا لشراء/بيع الأصول الثابتة
Warehouses with existing transaction can not be converted to ledger.,لا يمكن تحويل المستودعات مع المعاملات الحالية إلى دفتر الأستاذ.
Row #{0}: Asset {1} does not belong to company {2},الصف # {0}: لا ينتمي الأصل {1} إلى الشركة {2}
"Setting Events to {0}, since the Employee attached to the below Sales Persons does not have a User ID{1}",تعيين الاحداث إلى {0} ، حيث أن الموظف المرفق بأشخاص المبيعات أدناه ليس له معرف مستخدم {1}
Warehouses with existing transaction can not be converted to group.,لا يمكن تحويل المستودعات مع المعاملات الحالية إلى مجموعة.
Row #{0}: Asset {1} does not linked to Item {2},الصف #{0}: الأصل {1} غير مرتبط بالصنف {1}
Row #{0}: Asset {1} must be submitted,الصف # {0}: يجب اعتماد الأصل {1}
Please pull items from Delivery Note,الرجاء سحب الأصناف من مذكرة التسليم
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}","الصف {0}: لتعيين الدورية {1} ، الفرق بين من والي تاريخ 
يجب أن يكون أكبر من أو يساوي {2}"
Please enter Maintaince Details first,الرجاء إدخال تفاصيل الصيانة أولا
Lead Source,مصدر مبادرة البيع
Source Name,اسم المصدر
Row #{0}: Asset {1} is already {2},الصف # {0}: الأصل {1} هو بالفعل {2}
Hide Standard Menu,إخفاء القائمة الرئيسية
